             group                 group_value  precision    recall     fbeta       FPR
0        workclass                           ?   0.736842  0.350000  0.474576  0.016234
1        workclass                 Federal-gov   0.826087  0.487179  0.612903  0.074074
2        workclass                   Local-gov   0.706422  0.587786  0.641667  0.109589
3        workclass                     Private   0.814286  0.520284  0.634901  0.032627
4        workclass                Self-emp-inc   0.844660  0.725000  0.780269  0.181818
5        workclass            Self-emp-not-inc   0.720721  0.555556  0.627451  0.084699
6        workclass                   State-gov   0.776119  0.666667  0.717241  0.080645
7        workclass                 Without-pay   1.000000  1.000000  1.000000  0.000000
8        education                        10th   1.000000  0.150000  0.260870  0.000000
9        education                        11th   1.000000  0.285714  0.444444  0.000000
10       education                        12th   1.000000  0.300000  0.461538  0.000000
11       education                     1st-4th   1.000000  0.000000  0.000000  0.000000
12       education                     5th-6th   1.000000  0.250000  0.400000  0.000000
13       education                     7th-8th   1.000000  0.000000  0.000000  0.000000
14       education                         9th   1.000000  0.000000  0.000000  0.000000
15       education                  Assoc-acdm   0.913043  0.375000  0.531646  0.012048
16       education                   Assoc-voc   0.952381  0.312500  0.470588  0.005076
17       education                   Bachelors   0.714286  0.842697  0.773196  0.236593
18       education                   Doctorate   0.833333  0.865385  0.849057  0.409091
19       education                     HS-grad   0.960000  0.205714  0.338824  0.001692
20       education                     Masters   0.806604  0.886010  0.844444  0.271523
21       education                   Preschool   1.000000  1.000000  1.000000  0.000000
22       education                 Prof-school   0.883117  0.850000  0.866242  0.360000
23       education                Some-college   0.896552  0.280576  0.427397  0.007930
24  marital-status                    Divorced   0.920000  0.287500  0.438095  0.002513
25  marital-status           Married-AF-spouse   1.000000  0.000000  0.000000  0.000000
26  marital-status          Married-civ-spouse   0.781925  0.586156  0.670034  0.132300
27  marital-status       Married-spouse-absent   1.000000  0.000000  0.000000  0.000000
28  marital-status               Never-married   1.000000  0.333333  0.500000  0.000000
29  marital-status                   Separated   1.000000  0.300000  0.461538  0.000000
30  marital-status                     Widowed   1.000000  0.250000  0.400000  0.000000
31      occupation                           ?   0.736842  0.350000  0.474576  0.016234
32      occupation                Adm-clerical   0.693878  0.346939  0.462585  0.023220
33      occupation                Armed-Forces   1.000000  1.000000  1.000000  0.000000
34      occupation                Craft-repair   0.736842  0.271845  0.397163  0.031056
35      occupation             Exec-managerial   0.823881  0.732095  0.775281  0.139810
36      occupation             Farming-fishing   0.500000  0.523810  0.511628  0.059459
37      occupation           Handlers-cleaners   0.666667  0.250000  0.363636  0.007463
38      occupation           Machine-op-inspct   0.666667  0.279070  0.393443  0.016260
39      occupation               Other-service   0.666667  0.076923  0.137931  0.001585
40      occupation             Priv-house-serv   1.000000  1.000000  1.000000  0.000000
41      occupation              Prof-specialty   0.803815  0.795148  0.799458  0.168224
